cod_ibge7;municipio;porte;ra;ano;prest_a;natjur_a;in023;in049;in051;in053
3525854;Jumirim;Até 5 mil;RA Sorocaba;2018;Prefeitura Municipal de Jumirim;Administração pública direta;97,66;32,36;202,01;12,79
3525904;Jundiaí;Mais de 100 mil a 500 mil;RA Campinas;2018;DAE S/A - Água e Esgoto;Sociedade de economia mista com administração pública;99,7;33,48;383,39;14,05
3526001;Junqueirópolis;Mais de 20 mil a 50 mil;RA Presidente Prudente;2018;Prefeitura Municipal de Junqueirópolis;Administração pública direta;100;10,5;140,9;36,53
3526100;Juquiá;Mais de 10 mil a 20 mil;RA Registro;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;30,97;169,6;11,42
3526209;Juquitiba;Mais de 20 mil a 50 mil;RM São Paulo;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;57,64;29,49;188,56;13,54
3526308;Lagoinha;Mais de 5 mil a 10 mil;RA São José dos Campos;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;99,24;29,46;124,12;9,02
3526407;Laranjal Paulista;Mais de 20 mil a 50 mil;RA Sorocaba;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;46,27;383,06;13,03
3526506;Lavínia;Mais de 5 mil a 10 mil;RA Araçatuba;2018;Prefeitura Municipal de Lavínia;Administração pública direta;100;4,32;36;20,57
3526605;Lavrinhas;Mais de 5 mil a 10 mil;RA São José dos Campos;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;29,07;169,77;12,48
3526704;Leme;Mais de 50 mil a 100 mil;RA Campinas;2018;Superintendência de Água e Esgotos da Cidade de Leme;Autarquia;100;55,61;558,99;13,3
3526803;Lençóis Paulista;Mais de 50 mil a 100 mil;RA Bauru;2018;Serviço Autônomo de Água e Esgotos de Lençóis Paulista;Autarquia;100;29,76;360,56;24,14
3526902;Limeira;Mais de 100 mil a 500 mil;RA Campinas;2018;BRK Ambiental - Limeira S.A.;Empresa privada;100;19,78;128,38;13,18
3527009;Lindóia;Mais de 5 mil a 10 mil;RA Campinas;2018;Prefeitura Municipal de Lindóia;Administração pública direta;100;32,52;240,54;10,5
3527108;Lins;Mais de 50 mil a 100 mil;RA Bauru;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;16,97;104,26;14,66
3527207;Lorena;Mais de 50 mil a 100 mil;RA São José dos Campos;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;41,92;298,47;12,13
3527256;Lourdes;Até 5 mil;RA Araçatuba;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;13,33;63,28;12,28
3527306;Louveira;Mais de 50 mil a 100 mil;RA Campinas;2018;Prefeitura Municipal de Louveira;Administração pública direta;97,7;40,53;378,65;16,39
3527405;Lucélia;Mais de 20 mil a 50 mil;RA Presidente Prudente;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;25,3;130,91;11,69
3527504;Lucianópolis;Até 5 mil;RA Bauru;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;11,04;51,07;12,36
3527603;Luís Antônio;Mais de 10 mil a 20 mil;RA Ribeirão Preto;2018;Prefeitura Municipal de Luís Antônio;Administração pública direta;91,53;0;0;49,28
3527702;Luiziânia;Até 5 mil;RA Araçatuba;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;94,11;15,59;71,42;11,61
3527801;Lupércio;Até 5 mil;RA Marília;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;24,06;113,79;10,8
3527900;Lutécia;Até 5 mil;RA Marília;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;24,35;126,16;11,86
3528007;Macatuba;Mais de 10 mil a 20 mil;RA Bauru;2018;Prefeitura Municipal de Macatuba;Administração pública direta;100;52,37;482,81;13,15
3528106;Macaubal;Mais de 5 mil a 10 mil;RA São José do Rio Preto;2018;Prefeitura Municipal de Macaubal;Administração pública direta;99,92;10;34,55;9,46
3528205;Macedônia;Até 5 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;10,91;46,4;11,34
3528304;Magda;Até 5 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;17,86;83,13;11,47
3528403;Mairinque;Mais de 20 mil a 50 mil;RA Sorocaba;2018;Saneaqua Mairinque S/A;Empresa privada;100;36,45;244,23;10,97
3528502;Mairiporã;Mais de 50 mil a 100 mil;RM São Paulo;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;62,6;35,32;209,2;10,42
3528601;Manduri;Mais de 5 mil a 10 mil;RA Sorocaba;2018;Superintendência de Água e Esgoto de Manduri;Autarquia;99,99;19,26;202,42;25,81
3528700;Marabá Paulista;Até 5 mil;RA Presidente Prudente;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;83,38;18,12;80,51;11,06
3528809;Maracaí;Mais de 10 mil a 20 mil;RA Marília;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;28,81;160,11;11,92
3528858;Marapoama;Até 5 mil;RA São José do Rio Preto;2018;Prefeitura Municipal de Marapoama;Administração pública direta;97,36;40;182,65;8,33
3528908;Mariápolis;Até 5 mil;RA Presidente Prudente;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;16,93;76,8;11,4
3529005;Marília;Mais de 100 mil a 500 mil;RA Marília;2018;Departamento de Água e Esgoto de Marília;Autarquia;99,73;51,53;501,92;11,94
3529104;Marinópolis;Até 5 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;14,94;73,42;12,68
3529203;Martinópolis;Mais de 20 mil a 50 mil;RA Presidente Prudente;2018;Prefeitura Municipal de Martinópolis;Administração pública direta;100;34,05;227,37;13,26
3529302;Matão;Mais de 50 mil a 100 mil;RA Central;2018;Águas de Matão;Empresa privada;100;41,01;373,05;14,63
3529401;Mauá;Mais de 100 mil a 500 mil;RM São Paulo;2018;Saneamento Básico do Município de Mauá;Autarquia;98,5;49,69;394,92;9,75
3529609;Meridiano;Até 5 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;16,25;80,4;12,46
3529658;Mesópolis;Até 5 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;18,29;85,22;11,52
3529708;Miguelópolis;Mais de 10 mil a 20 mil;RA Franca;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;88,6;28,85;172,82;12,96
3529807;Mineiros do Tietê;Mais de 10 mil a 20 mil;RA Bauru;2018;Águas de Mineiros do Tietê;Empresa privada;100;15,21;89,02;14,79
3529906;Miracatu;Mais de 10 mil a 20 mil;RA Registro;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;37,55;228,94;11,48
3530003;Mira Estrela;Até 5 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;93,99;15,53;67,57;11,11
3530102;Mirandópolis;Mais de 20 mil a 50 mil;RA Araçatuba;2018;Serviço Autônomo de Água e Esgoto de Mirandópolis;Autarquia;99,71;58,4;774,68;16,34
3530201;Mirante do Paranapanema;Mais de 10 mil a 20 mil;RA Presidente Prudente;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;98,79;19,82;95,52;11,51
3530300;Mirassol;Mais de 50 mil a 100 mil;RA São José do Rio Preto;2018;Saneamento de Mirassol - Sanessol S.A;Empresa privada;98,38;27,47;171,98;12,19
3530409;Mirassolândia;Até 5 mil;RA São José do Rio Preto;2018;Prefeitura Municipal de Mirassolândia;Administração pública direta;92,45;20;289,51;29,25
3530508;Mococa;Mais de 50 mil a 100 mil;RA Campinas;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;29,26;173,1;12,26
3530607;Mogi das Cruzes;Mais de 100 mil a 500 mil;RM São Paulo;2018;Serviço Municipal de Águas e Esgotos;Autarquia;98,13;53,07;474;11,71
3530706;Mogi Guaçu;Mais de 100 mil a 500 mil;RA Campinas;2018;Serviço Autônomo Municipal de Água e Esgoto de Mogi Guaçu;Autarquia;100;45,05;379,74;11,88
3530805;Mogi Mirim;Mais de 50 mil a 100 mil;RA Campinas;2018;Serviço Autônomo de Água e Esgotos de Mogi Mirim;Autarquia;100;50,6;446,13;12,37
3530904;Mombuca;Até 5 mil;RA Campinas;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;17,07;95,49;14,01
3531001;Monções;Até 5 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;20,67;106,88;12,35
3531100;Mongaguá;Mais de 50 mil a 100 mil;RA Santos;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;92,52;45,61;251,99;7,5
3531209;Monte Alegre do Sul;Mais de 5 mil a 10 mil;RA Campinas;2018;Prefeitura Municipal de Monte Alegre do Sul;Administração pública direta;100;16,67;120,59;17,92
3531308;Monte Alto;Mais de 20 mil a 50 mil;RA Ribeirão Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;18,05;95,64;12,59
3531407;Monte Aprazível;Mais de 20 mil a 50 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;17,03;86,34;12,61
3531506;Monte Azul Paulista;Mais de 10 mil a 20 mil;RA Barretos;2018;Serviço Autônomo de Água, Esgoto e Meio Ambiente de Monte Azul Paulista;Autarquia;98,29;35,79;334;18,14
3531704;Monteiro Lobato;Até 5 mil;RA São José dos Campos;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;17,72;82,57;11,54
3531803;Monte Mor;Mais de 50 mil a 100 mil;RA Campinas;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;29,11;164,58;11,85
3531902;Morro Agudo;Mais de 20 mil a 50 mil;RA Franca;2018;Prefeitura Municipal de Morro Agudo;Administração pública direta;97,8;49,19;527,37;16,57
3532009;Morungaba;Mais de 10 mil a 20 mil;RA Campinas;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;33,19;193,71;11,41
3532058;Motuca;Até 5 mil;RA Central;2018;Prefeitura Municipal de Motuca;Administração pública direta;100;29,69;352,59;25,35
3532108;Murutinga do Sul;Até 5 mil;RA Araçatuba;2018;Prefeitura Municipal de Murutinga do Sul;Administração pública direta;93,73;1,64;8,98;16,18
3532157;Nantes;Até 5 mil;RA Presidente Prudente;2018;Prefeitura Municipal de Nantes;Administração pública direta;100;13,33;59,88;11,84
3532207;Narandiba;Mais de 5 mil a 10 mil;RA Presidente Prudente;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;3,7;14,98;11,74
3532306;Natividade da Serra;Mais de 5 mil a 10 mil;RA São José dos Campos;2018;Prefeitura Municipal de Natividade da Serra;Administração pública direta;100;89,71;2.571,13;8,33
3532405;Nazaré Paulista;Mais de 10 mil a 20 mil;RA Campinas;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;46,19;30,81;161,77;10,75
3532504;Neves Paulista;Mais de 5 mil a 10 mil;RA São José do Rio Preto;2018;Prefeitura Municipal de Neves Paulista;Administração pública direta;93,01;6,15;46,18;21,43
3532603;Nhandeara;Mais de 5 mil a 10 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;18,68;90,42;11,8
3532702;Nipoã;Até 5 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;99,65;15,36;69,85;11,64
3532801;Nova Aliança;Mais de 5 mil a 10 mil;RA São José do Rio Preto;2018;Prefeitura Municipal de Nova Aliança;Administração pública direta;100;37,38;364,26;18,48
3532827;Nova Campina;Mais de 5 mil a 10 mil;RA Itapeva;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;80,04;25,65;107,78;9,23
3532843;Nova Canaã Paulista;Até 5 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;11,41;48,63;11,42
3532900;Nova Europa;Mais de 5 mil a 10 mil;RA Central;2018;Prefeitura Municipal de Nova Europa;Administração pública direta;100;36,61;986,54;50,02
3533007;Nova Granada;Mais de 10 mil a 20 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;16,87;83,89;12,33
3533106;Nova Guataporanga;Até 5 mil;RA Presidente Prudente;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;21,56;103,48;11,41
3533205;Nova Independência;Até 5 mil;RA Araçatuba;2018;Prefeitura Municipal de Nova Independência;Administração pública direta;100;27,65;174,55;13,71
3533254;Novais;Até 5 mil;RA São José do Rio Preto;2018;Prefeitura Municipal de Novais;Administração pública direta;100;0;0;41,59
3533304;Nova Luzitânia;Até 5 mil;RA Araçatuba;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;87,67;13,1;58,62;11,62
3533403;Nova Odessa;Mais de 50 mil a 100 mil;RA Campinas;2018;Cia de Desenvolvimento de Nova Odessa;Sociedade de economia mista com administração pública;100;26,11;161,37;13,13
3533502;Novo Horizonte;Mais de 20 mil a 50 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;14,62;79,56;13,91
3533601;Nuporanga;Mais de 5 mil a 10 mil;RA Franca;2018;Prefeitura Municipal de Nuporanga;Administração pública direta;98,57;29,88;182,46;12,77
3533700;Ocauçu;Até 5 mil;RA Marília;2018;Prefeitura Municipal de Ocauçu;Administração pública direta;100;39,55;530,5;24,43
3533809;Óleo;Até 5 mil;RA Marília;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;34,37;188,79;10,87
3533908;Olímpia;Mais de 50 mil a 100 mil;RA Barretos;2018;Superintendência de Água e Esgoto e Meio Ambiente de Olímpia;Autarquia;100;28,69;197,64;14,64
3534005;Onda Verde;Até 5 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;19,72;102,52;12,52
3534104;Oriente;Mais de 5 mil a 10 mil;RA Marília;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;18,78;86,55;11,36
3534203;Orindiúva;Mais de 5 mil a 10 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;93,55;17,86;92,65;12,85
3534302;Orlândia;Mais de 20 mil a 50 mil;RA Franca;2018;Prefeitura Municipal de Orlândia;Administração pública direta;99,86;64,44;1.137,79;19,09
3534401;Osasco;Mais de 500 mil;RM São Paulo;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;37,89;350,74;11,11
3534500;Oscar Bressane;Até 5 mil;RA Marília;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;25,75;127,01;11,01
3534609;Osvaldo Cruz;Mais de 20 mil a 50 mil;RA Presidente Prudente;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;17,61;83,49;11,67
3534708;Ourinhos;Mais de 100 mil a 500 mil;RA Marília;2018;Superintendência de Água e Esgoto de Ourinhos;Autarquia;100;63,43;824,42;13,04
3534757;Ouroeste;Mais de 10 mil a 20 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;14,2;68,83;12,5
3534807;Ouro Verde;Mais de 5 mil a 10 mil;RA Presidente Prudente;2018;Prefeitura Municipal de Ouro Verde;Administração pública direta;100;18,33;196,52;26,63
3534906;Pacaembu;Mais de 10 mil a 20 mil;RA Presidente Prudente;2018;Prefeitura Municipal de Pacaembu;Administração pública direta;100;71,28;996,74;12,21
3535002;Palestina;Mais de 10 mil a 20 mil;RA São José do Rio Preto;2018;Empresa de Saneamento de Palestina;Empresa privada;98,99;18,64;90,47;11,83
3535101;Palmares Paulista;Mais de 5 mil a 10 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;87,41;18,15;93,84;12,18
3535200;Palmeira d'Oeste;Mais de 5 mil a 10 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;16,97;81,51;12,07
3535309;Palmital;Mais de 10 mil a 20 mil;RA Marília;2018;Serviço Autônomo de Água e Esgoto;Autarquia;100;29,99;196,85;13,95
3535408;Panorama;Mais de 10 mil a 20 mil;RA Presidente Prudente;2018;Prefeitura Municipal de Panorama;Administração pública direta;98,45;22,71;113,72;11,77
3535507;Paraguaçu Paulista;Mais de 20 mil a 50 mil;RA Marília;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;19,39;101,54;12,69
3535606;Paraibuna;Mais de 10 mil a 20 mil;RA São José dos Campos;2018;Companhia de Águas e Esgotos de Paraibuna;Empresa privada;100;34,64;209,81;11,62
3535705;Paraíso;Mais de 5 mil a 10 mil;RA São José do Rio Preto;2018;Prefeitura Municipal de Paraíso;Administração pública direta;100;5,56;50,63;26,18
3535804;Paranapanema;Mais de 10 mil a 20 mil;RA Itapeva;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;86,32;11,29;50,84;11,83
3535903;Paranapuã;Até 5 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;14,05;65,78;12,11
3536000;Parapuã;Mais de 10 mil a 20 mil;RA Marília;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;15,42;69,38;11,42
3536109;Pardinho;Mais de 5 mil a 10 mil;RA Sorocaba;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;95,58;32,81;191,99;11,76
3536208;Pariquera-Açu;Mais de 10 mil a 20 mil;RA Registro;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;31,49;178,79;11,75
3536257;Parisi;Até 5 mil;RA São José do Rio Preto;2018;Prefeitura Municipal de Parisi;Administração pública direta;100;27,51;143,11;11,47
3536307;Patrocínio Paulista;Mais de 10 mil a 20 mil;RA Franca;2018;Prefeitura Municipal de Patrocínio Paulista;Administração pública direta;100;35,91;286,69;15,56
3536505;Paulínia;Mais de 100 mil a 500 mil;RA Campinas;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;33,5;274,31;14,68
3536570;Paulistânia;Até 5 mil;RA Bauru;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;98,72;18,54;94,24;12,36
3536604;Paulo de Faria;Mais de 5 mil a 10 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;97,8;20,56;100,84;11,75
3536703;Pederneiras;Mais de 20 mil a 50 mil;RA Bauru;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;33,46;224,67;13,33
3536802;Pedra Bela;Mais de 5 mil a 10 mil;RA Campinas;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;9,57;38,94;10,79
3536901;Pedranópolis;Até 5 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;13,14;60,81;12,14
3537008;Pedregulho;Mais de 10 mil a 20 mil;RA Franca;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;24,9;122,29;11,01
3537107;Pedreira;Mais de 20 mil a 50 mil;RA Campinas;2018;Serviço Autônomo de Água e Esgoto;Autarquia;98,4;56,98;554,28;12,24
3537156;Pedrinhas Paulista;Até 5 mil;RA Marília;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;22,07;130,93;13,94
3537206;Pedro de Toledo;Mais de 10 mil a 20 mil;RA Registro;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;87,31;31,91;171,66;11,11
3537305;Penápolis;Mais de 50 mil a 100 mil;RA Araçatuba;2018;Departamento Autônomo de Água e Esgoto de Penápolis;Autarquia;100;28,14;189,87;13,28
3537404;Pereira Barreto;Mais de 20 mil a 50 mil;RA Araçatuba;2018;Serviço Autônomo de Água e Esgoto;Autarquia;99,98;22,53;186,25;18,82
3537503;Pereiras;Mais de 5 mil a 10 mil;RA Sorocaba;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;30,18;145,33;10,05
3537602;Peruíbe;Mais de 50 mil a 100 mil;RA Santos;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;97,75;37,91;199,18;9,26
3537701;Piacatu;Mais de 5 mil a 10 mil;RA Araçatuba;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;23,18;115,62;11,47
3537800;Piedade;Mais de 50 mil a 100 mil;RA Sorocaba;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;39,72;266,87;11,92
3537909;Pilar do Sul;Mais de 20 mil a 50 mil;RA Sorocaba;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;26,9;133,49;10,91
3538006;Pindamonhangaba;Mais de 100 mil a 500 mil;RA São José dos Campos;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;33,76;217,38;12,05
3538105;Pindorama;Mais de 10 mil a 20 mil;RA São José do Rio Preto;2018;Prefeitura Municipal de Pindorama;Administração pública direta;100;45,75;373,14;13,45
3538204;Pinhalzinho;Mais de 10 mil a 20 mil;RA Campinas;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;28,78;131,4;9,71
3538303;Piquerobi;Até 5 mil;RA Presidente Prudente;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;10,91;44,8;11,05
3538501;Piquete;Mais de 10 mil a 20 mil;RA São José dos Campos;2018;ÁGUAS PIQUETE S.A.;Empresa privada;100;55,07;543,67;12,4
3538600;Piracaia;Mais de 20 mil a 50 mil;RA Campinas;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;67,44;33,55;184,68;10,71
3538709;Piracicaba;Mais de 100 mil a 500 mil;RA Campinas;2018;Serviço Municipal de Água e Esgoto;Autarquia;100;49,64;525,02;13,89
3538808;Piraju;Mais de 20 mil a 50 mil;RA Itapeva;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;32,56;195,78;12,14
3538907;Pirajuí;Mais de 20 mil a 50 mil;RA Bauru;2018;Serviço Autônomo de Água e Esgoto;Autarquia;100;19,25;164,08;20,5
3539004;Pirangi;Mais de 10 mil a 20 mil;RA Barretos;2018;Prefeitura Municipal de Pirangi;Administração pública direta;99,99;36,66;231,99;11,62
3539103;Pirapora do Bom Jesus;Mais de 10 mil a 20 mil;RM São Paulo;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;82,36;54,25;447,22;10,23
3539202;Pirapozinho;Mais de 20 mil a 50 mil;RA Presidente Prudente;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;17,48;86,08;12,23
3539301;Pirassununga;Mais de 50 mil a 100 mil;RA Campinas;2018;Serviço de Água e Esgoto de Pirassununga;Autarquia;100;42,58;350,73;13,29
3539400;Piratininga;Mais de 10 mil a 20 mil;RA Bauru;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;15,48;78,8;12,83
3539509;Pitangueiras;Mais de 20 mil a 50 mil;RA Ribeirão Preto;2018;Prefeitura Municipal de Pitangueiras;Administração pública direta;97,11;30;400,43;28,42
3539608;Planalto;Até 5 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;10,14;49,74;13,17
3539707;Platina;Até 5 mil;RA Marília;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;94,44;14,97;73,81;12,68
3539806;Poá;Mais de 100 mil a 500 mil;RM São Paulo;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;30,43;190,61;10,89
3539905;Poloni;Mais de 5 mil a 10 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;16,73;80,38;11,84
3540002;Pompéia;Mais de 20 mil a 50 mil;RA Marília;2018;Serviço Autônomo de Água e Esgoto de Pompéia/Sp;Autarquia;100;27,44;128,6;10,35
3540101;Pongaí;Até 5 mil;RA Bauru;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;15,34;72,88;12,04
3540200;Pontal;Mais de 20 mil a 50 mil;RA Ribeirão Preto;2018;Prefeitura Municipal de Pontal;Administração pública direta;99,98;15,9;162,5;24,56
3540259;Pontalinda;Até 5 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;98,76;15,33;68,56;11,37
3540309;Pontes Gestal;Até 5 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;11,59;53,16;12,25
3540408;Populina;Até 5 mil;RA São José do Rio Preto;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;10,55;44,4;11,33
3540507;Porangaba;Mais de 10 mil a 20 mil;RA Sorocaba;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;100;31,69;179,82;11,6
3540606;Porto Feliz;Mais de 50 mil a 100 mil;RA Sorocaba;2018;Serviço Autônomo de Água e Esgoto;Autarquia;100;32,35;230,49;12,66
3540705;Porto Ferreira;Mais de 50 mil a 100 mil;RA Central;2018;BRK Ambiental - Porto Ferreira S.A.;Empresa privada;100;33,58;241,87;13,6
3540754;Potim;Mais de 20 mil a 50 mil;RA São José dos Campos;2018;Prefeitura Municipal de Potim;Administração pública direta;100;5,52;54,33;28,3
3540804;Potirendaba;Mais de 10 mil a 20 mil;RA São José do Rio Preto;2018;Prefeitura Municipal de Potirendaba;Administração pública direta;99,1;0;0,01;12,57
3540853;Pracinha;Até 5 mil;RA Presidente Prudente;2018;Companhia de Saneamento Básico do Estado de São Paulo;Sociedade de economia mista com administração pública;99,79;9,25;37,01;10,96
